ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],NVDA,NVIDIA Corporation,NASDAQ,212.45,stock,common,100.00,1.00,false,0.00,USD,3.54,149094149.00,0.87,5141290061172.43,USD,32.54,6.53,110.33,0.02,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,3.54,1.08,-7.53,14.80,20.64,11.91,49.11,1094.16,17877.58,485497.78,3.33,3.37,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,51.29,-11.91,-8.23,-35.66,24.78,17.68,0.00,208.97,1.84,2.33,3217254.00,1.82,149094149.00,32.71,212.06,-0.19,22503663.00,57.27,32.54,0.28,19.74,26.32,41.24,48.85,64.31,5073532061172.43,20.01,31.26,30.65,210.11,214.54,207.61,195.13,189.41
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,369.35,stock,common,100.00,1.00,false,0.00,USD,2.69,27644475.00,0.75,4466570612365.51,USD,28.18,13.11,46.19,0.23,Technology services,america,Technology Services,StrongBuy,Strong buy,2.69,1.14,-6.80,20.76,19.91,16.55,114.19,203.81,905.14,14658.21,3.30,2.53,Buy,Buy,Buy,Buy,Neutral,Neutral,49.84,-7.02,-17.55,-32.15,33.47,22.40,0.00,368.02,2.32,1.66,351903.00,2.29,27644475.00,11.78,369.50,0.04,4979795.00,122.89,28.18,0.59,10.40,9.35,25.93,70.16,35.64,4434429790365.51,10.48,31.16,26.78,363.23,381.53,363.73,337.07,308.75
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,367.11,stock,common,100.00,1.00,false,0.00,USD,2.50,17212510.00,0.65,4458322942186.58,USD,28.00,13.11,46.19,0.23,Technology services,america,Technology Services,StrongBuy,Strong buy,2.50,1.28,-6.64,20.49,18.80,15.59,111.49,190.79,921.17,1196.13,3.42,2.55,Buy,Buy,Buy,Buy,Neutral,Neutral,50.24,-5.47,-16.49,-27.99,36.62,24.61,0.00,365.91,2.16,1.75,270546.00,2.19,17212510.00,-2.52,367.44,0.09,3362632.00,122.89,28.00,0.59,10.36,9.29,25.77,69.73,35.42,4426182120186.58,10.46,31.11,26.73,360.77,378.33,360.94,335.56,308.31
[object Object],AAPL,Apple Inc.,NASDAQ,296.42,stock,common,100.00,1.00,false,0.00,USD,1.82,45616738.00,0.85,4353626270537.81,USD,35.86,8.27,29.00,0.36,Electronic technology,america,Electronic Technology,Buy,Buy,1.82,-3.99,-0.50,17.18,7.79,8.88,48.41,127.37,1112.10,230850.23,2.86,2.16,Neutral,Neutral,Buy,Buy,Neutral,Neutral,49.46,-9.89,-3.21,-84.51,23.36,19.43,0.00,294.08,1.01,1.24,489169.00,1.03,45616738.00,17.62,296.04,-0.13,8539000.00,51.44,35.86,1.21,9.50,40.83,31.13,33.79,63.72,4369830270537.81,9.68,29.65,27.32,301.09,299.60,286.30,273.33,267.20
[object Object],MSFT,Microsoft Corporation,NASDAQ,399.76,stock,common,100.00,1.00,false,0.00,USD,2.31,32171393.00,0.86,2969590929610.61,USD,23.81,16.79,29.75,0.91,Technology services,america,Technology Services,StrongBuy,Strong buy,2.31,-3.47,-3.50,-0.13,-16.18,-17.47,-16.09,54.11,703.05,411078.42,2.69,2.60,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,42.72,-60.76,-20.95,-107.01,12.86,7.99,0.00,396.95,1.59,2.04,444250.00,1.55,32171393.00,-7.88,399.68,-0.02,5986431.00,-9.74,23.81,0.78,9.14,7.17,17.49,40.82,38.02,3016750929610.61,9.48,20.25,15.66,410.67,416.82,412.32,407.96,453.20
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,246.02,stock,common,100.00,1.00,false,0.00,USD,3.13,41365709.00,0.92,2646464082293.22,USD,29.40,8.37,36.48,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,3.13,-0.27,-6.28,15.60,9.51,6.35,17.17,45.06,581.50,201764.22,3.07,2.58,Neutral,Neutral,Sell,Sell,Neutral,Neutral,43.22,-15.24,-19.54,-69.79,19.42,12.92,0.00,245.28,2.82,1.03,725609.00,2.71,41365709.00,-19.29,246.39,0.15,7150507.00,30.48,29.40,0.78,3.49,5.99,18.01,0.00,18.33,2727347082293.22,3.67,30.24,16.98,245.99,260.92,255.50,235.25,232.59
[object Object],AVGO,Broadcom Inc.,NASDAQ,393.94,stock,common,100.00,1.00,false,0.00,USD,3.11,31544839.00,0.74,1874201131904.92,USD,65.58,6.01,125.81,0.65,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,3.11,-2.16,-8.98,20.93,13.66,11.67,57.16,737.69,2380.42,23775.15,4.65,3.90,Sell,Sell,Sell,Sell,Neutral,Neutral,45.28,-66.03,-33.40,-74.56,13.53,10.53,0.00,395.50,3.52,4.69,350691.00,3.52,31544839.00,14.18,394.52,0.15,6606171.00,80.33,65.58,0.51,24.69,21.37,57.13,58.63,97.86,1919480131904.92,25.44,57.62,45.63,408.79,419.49,408.04,366.43,358.57
[object Object],TSLA,"Tesla, Inc.",NASDAQ,411.15,stock,common,100.00,1.00,false,0.00,USD,1.16,45370035.00,0.92,1544165743803.42,USD,375.62,1.09,-39.80,0.00,Consumer durables,america,Consumer Durables,Buy,Buy,1.16,3.74,-5.26,3.91,-15.79,-10.19,30.95,106.42,2742.71,32359.25,5.13,3.66,Buy,Buy,Buy,Buy,Neutral,Neutral,50.56,-4.73,-14.52,-19.72,38.85,26.60,"rising_window_bullish,spinning_top_black",412.15,1.41,1.20,989351.00,1.46,45370035.00,-28.72,410.10,-0.26,3427845.00,39.32,375.62,0.00,14.69,18.35,88.01,207.81,32.28,1515671743803.42,15.49,286.14,130.80,406.08,417.13,399.31,401.40,416.00
[object Object],META,Meta Platforms Inc Class A,NASDAQ,593.48,stock,common,100.00,1.00,false,0.00,USD,4.67,17371487.00,0.84,1506503305014.87,USD,21.58,27.51,7.29,0.37,Technology services,america,Technology Services,StrongBuy,Strong buy,4.67,0.25,-3.34,-5.49,-9.48,-10.45,-13.73,76.27,418.69,1311.37,3.14,2.92,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,46.31,-6.99,-31.38,-54.70,22.43,12.77,0.00,579.80,2.26,2.21,255563.00,2.28,17371487.00,21.07,593.47,-0.00,2345097.00,-3.75,21.58,2.83,6.76,6.18,12.27,31.54,18.67,1511752305014.87,7.03,17.06,13.83,591.10,605.64,622.21,630.93,657.32
[object Object],MU,"Micron Technology, Inc.",NASDAQ,1087.99,stock,common,100.00,1.00,false,0.00,USD,10.84,44608014.00,0.81,1226963305912.72,USD,51.37,21.18,409.12,0.05,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,10.84,15.96,48.52,140.42,359.93,268.65,856.05,1215.11,8847.29,76925.84,9.06,7.16,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,66.56,52.49,166.61,118.19,76.25,64.90,rising_window_bullish,1055.54,7.53,5.32,1784081.00,7.57,44608014.00,8.82,1080.08,-0.73,4577390.00,837.98,51.37,0.11,19.29,16.94,40.53,120.85,85.01,1223146305912.72,21.05,43.26,33.04,984.62,845.63,692.08,547.80,386.56
